"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.7818","1.0","-19.7818","1.0","-19.7818","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7818","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0","-19.7818","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0"
"2","-19.7818","1.0","-19.7818","1.0","-19.7818","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7818","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0","-19.7818","1.0","-19.7817","1.0","-19.7817","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0","-19.7817","1.0","-19.7816","1.0","-19.7816","1.0"
"3","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0"
"4","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0"
"5","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0"
"6","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0","-19.7816","1.0"
"7","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0"
"8","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0","-19.7815","1.0","-19.7816","1.0","-19.7816","1.0"
"9","-19.7719","1.0","-19.772","1.0","-19.772","1.0","-19.7719","1.0","-19.772","1.0","-19.772","1.0","-19.7719","1.0","-19.772","1.0","-19.772","1.0","-19.7719","1.0","-19.7719","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.7719","1.0","-19.772","1.0","-19.7719","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0","-19.772","1.0"
